mMV_at_1,mMV_at_3,mMV_at_5,mMV_at_10,mAP_at_3,mAP_at_5,Exp,Model
0.6060606060606061,0.6060606060606061,0.6666666666666666,0.7272727272727273,0.6464646464646464,0.6443602693602694,GBM_MICROSCOPE_CPTAC,yottixel
0.5483870967741935,0.5591397849462365,0.5376344086021505,0.5698924731182796,0.6272401433691756,0.6235065710872163,Her2Pos,yottixel
0.7422680412371134,0.7422680412371134,0.7835051546391752,0.8144329896907216,0.8092783505154639,0.7884593356242842,Her2Neg,yottixel
0.5647058823529412,0.6,0.5764705882352941,0.5882352941176471,0.6470588235294118,0.6499346405228759,BRCA_TRASTUZUMAB,yottixel
0.7058823529411765,0.696969696969697,0.696969696969697,0.7096774193548387,0.7254901960784315,0.7287990196078432,GBM_MICROSCOPE_CPTAC,sish
0.26881720430107525,0.24719101123595505,0.22093023255813954,0.16666666666666666,0.2939068100358423,0.30421146953405015,Her2Pos,sish
0.4536082474226804,0.4421052631578947,0.44565217391304346,0.375,0.47594501718213056,0.48012600229095076,Her2Neg,sish
0.32941176470588235,0.32142857142857145,0.3333333333333333,0.2948717948717949,0.34509803921568627,0.35619281045751633,BRCA_TRASTUZUMAB,sish
0.5882352941176471,0.59375,0.75,0.8461538461538461,0.7279411764705881,0.7360702614379084,GBM_MICROSCOPE_CPTAC,retccl
0.17204301075268819,0.3010752688172043,0.3548387096774194,0.4805194805194805,0.3449820788530466,0.40352449223416964,Her2Pos,retccl
0.5102040816326531,0.6020408163265306,0.7422680412371134,0.8641975308641975,0.655612244897959,0.6714994331065761,Her2Neg,retccl
0.21176470588235294,0.24705882352941178,0.35294117647058826,0.42028985507246375,0.38235294117647056,0.4275,BRCA_TRASTUZUMAB,retccl
0.7575757575757576,0.7272727272727273,0.8181818181818182,0.9090909090909091,0.8131313131313131,0.8103535353535353,GBM_MICROSCOPE_CPTAC,hshr
0.24731182795698925,0.3225806451612903,0.3225806451612903,0.3010752688172043,0.42921146953405015,0.4491487455197133,Her2Pos,hshr
0.5714285714285714,0.5918367346938775,0.6224489795918368,0.6632653061224489,0.6318027210884354,0.611904761904762,Her2Neg,hshr
0.4470588235294118,0.4470588235294118,0.49411764705882355,0.5294117647058824,0.5813725490196078,0.5686928104575164,BRCA_TRASTUZUMAB,hshr
