slide_id,process,status,seg_level,sthresh,mthresh,close,use_otsu,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn
TCGA-83-5908-01A-01-BS1.747c3502-f405-453d-b154-92b9b8fd6a4c.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-86-8056-01A-01-TS1.2f1a2681-bd8c-4510-ba48-23aa480eee2a.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-86-8671-01A-01-BS1.e56bbfa9-5590-46c1-a111-3c92f36a0b3f.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-86-A4D0-01Z-00-DX1.165461AD-A8DA-4B7B-87CE-F5DBDBD2C0A7.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-91-6830-01A-01-BS1.0ea7ad95-852a-4d1b-9152-0c6582df4d14.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-91-7771-01A-01-BS1.038f7715-e60b-434a-bcc4-072d61e5700c.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-91-A4BD-01A-01-TSA.93F9E15F-EAC4-4DE1-85A5-626B58BF7B99.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-95-7043-01A-01-BS1.ef0e9345-c695-481d-98f7-0bd114aef3e9.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-95-7947-01Z-00-DX1.44291078-2D8E-4E79-8FAB-439E52BAAD60.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-97-8172-01Z-00-DX1.812ab977-692e-42f8-af57-7ce9084ab045.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-99-7458-01A-01-BS1.d96cc75b-eccd-403b-8c5e-7eaa1bf6326a.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-99-8028-01Z-00-DX1.23de89b1-67f8-41fb-980a-010ea190d687.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-MP-A4TC-01Z-00-DX1.C7DB4A7F-F6B8-4FA0-84C1-9B87D41C7749.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-NJ-A4YF-01A-01-TSA.609E6AD3-35AD-4348-9376-A779576E7DCF.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-NJ-A55A-01A-01-TSA.EB8E4F53-589A-4F7D-AC10-7D65DF72F1BB.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-05-4390-01Z-00-DX1.858E64DF-DD3E-4F43-B7C1-CE35B33F1C90.svs,0,processed,1,8,7,4,False,16,4,8,1,100,True,four_pt
TCGA-05-4410-01A-01-BS1.9f17e837-5c04-4f1b-8438-d49fa409d361.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-05-4430-01A-01-BS1.ddcc645f-ec88-4853-a0cf-7d294d8803e0.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-05-5428-01Z-00-DX1.8018AD62-F1CE-4BFF-8EFD-3F2D4513FC11.svs,0,processed,1,8,7,4,False,16,4,8,1,100,True,four_pt
TCGA-38-4631-01A-01-BS1.ac8b063c-37ee-4080-aa5e-d13a605dc3bd.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-44-2662-01A-01-BS1.f7ba5b6b-8a26-4cf2-8b0c-db76298ca502.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-44-5643-01A-01-TS1.d7358c4a-6ea9-44f1-b97a-1cb050dd2435.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-50-5055-01A-01-BS1.23899b53-43e5-40b3-801f-928d6dc3dd1b.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-55-6970-01A-01-BS1.4b65459d-7aa4-41b4-a811-fd46fa2ef112.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-55-8096-01A-01-TS1.d924d0f6-690d-4d72-87e3-6c7d14ef4cb7.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-64-5815-01A-01-BS1.fbad6bcf-0bd2-4b7d-b8c0-7d8293858a0c.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-67-3771-01A-01-TS1.4cc1ce1f-f0db-4f89-819a-43ba2ca921c0.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-67-3776-01A-01-TS1.81654472-553b-4b12-af86-d716a028a76a.svs,0,processed,1,8,7,4,False,16,4,8,1,100,True,four_pt
TCGA-69-8253-01A-01-TS1.2de254ef-a6df-433b-a9b5-9d16c30fd6aa.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-69-8255-01A-01-TS1.a278ed20-0fb8-41f9-9f00-320e700e29e8.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
